CodigoCarrera	Facultad	Nombre
IIDC	Ingenierias	Inteligencia de Datos y Cibersegurida
IID	Ingenierias	Innovaci—n y Dise–o
IIBD	Ingenierias	Industrial Basada en Datos
IMCT	Ingenierias	Mecatr—nica
IMC	Ingenierias	Mec‡nica
LMA	Ingenierias	Matem‡ticas Aplicadas
IAV	Ingenierias	Animaci—n y Videojuegos
EMDER	Empresariales	Derecho
HUMFIL	Humanidades	Filosof’a
ESDAI	Empresariales	Hospitality Manager
EMCOM	Empresariales	Comunicaci—n
EMMER	Empresariales	Mercadotecnia
LBC	Empresariales	Bussiness Inteligence
SMED	Salud	MŽdico Cirujano
